,ALGEBRA E GEOMETRIA,ARCHITETTURA DEGLI ELABORATORI,PROGRAMMAZIONE,ANALISI MATEMATICA,LABORATORIO I,PROGRAMMAZIONE CONCORRENTE E DISTRIBUITA,SISTEMI OPERATIVI,BASI DI DATI,FONDAMENTI DI SICUREZZA,STORIA DEGLI AUTOMI E DELL'INFORMATICA,INGLESE,ALGORITMI E STRUTTURE DATI,PROGETTAZIONE DEL SOFTWARE,"INFORMAZIONE, TRASMISSIONE E CODICI A PROTEZIONE D'ERRORE",LABORATORIO II,RETI DI TELECOMUNICAZIONE,INFORMATICA TEORICA,APPLICAZIONI WEB,PROVA FINALE,FONDAMENTI DEI LINGUAGGI DI PROGRAMMAZIONE,SISTEMI INFORMATIVI,TIROCINIO FORMATIVO,PROGRAMMAZIONE DI DISPOSITIVI MOBILI,GRAFICA COMPUTAZIONALE,ELABORAZIONE DELLE IMMAGINI,LOGICA MATEMATICA,MICROCONTROLLORI,ORGANIZZAZIONE AZIENDALE,MARKETING,MODELLI INNOVATIVI PER LA GESTIONE DEI DATI,Logica,GESTIONE PROGETTI SOFTWARE,AUTOMI E LINGUAGGI,TEST DI VERIFICA DELLE CONOSCENZE,ANALISI E RICONOSCIMENTO NELLE RETI SOCIALI,IBM BLUEMIX,LABORATORIO INTERDISCIPLINARE A,LABORATORIO INTERDISCIPLINARE,PROGRAMMAZIONE PROCEDURALE E AD OGGETTI,PROGRAMMAZIONE FUNZIONALE,LABORATORIO INTERDISCIPLINARE A E B,LABORATORIO INTERDISCIPLINARE B
718592,19,16,14,50,29,43,28,28,35,-1,23,21,28,50,45,38,40,50,51,-1,-1,51,-1,50,-1,43,-1,45,42,31,-1,-1,-1,-1,-1,43,-1,-1,-1,-1,-1,-1
726699,13,14,13,18,-1,30,25,25,42,42,18,18,25,30,-1,37,-1,-1,43,-1,25,43,30,-1,37,-1,-1,-1,42,-1,30,37,37,9,-1,-1,18,-1,-1,-1,37,37
718853,16,16,17,19,26,30,25,26,30,-1,16,18,54,31,50,50,47,45,55,-1,49,55,-1,43,48,-1,50,-1,-1,-1,-1,-1,-1,-1,50,-1,-1,-1,-1,-1,-1,-1
719110,14,14,17,54,29,30,26,28,33,-1,18,28,31,62,41,43,61,54,74,-1,-1,74,-1,66,55,55,33,-1,-1,-1,-1,-1,-1,-1,62,-1,-1,-1,-1,-1,-1,-1
718855,16,16,14,31,23,35,26,26,50,49,18,31,41,67,73,69,62,47,75,-1,-1,75,60,-1,66,-1,50,-1,-1,-1,-1,-1,-1,-1,74,-1,-1,-1,-1,-1,-1,-1
718857,21,33,23,81,54,31,28,73,43,49,19,61,55,85,61,50,61,74,-1,-1,-1,87,-1,-1,69,35,67,-1,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
723466,14,17,14,33,-1,30,25,24,42,-1,21,19,37,48,-1,37,-1,-1,55,45,37,55,-1,-1,38,-1,43,-1,42,33,30,-1,38,-1,-1,-1,54,54,-1,-1,-1,-1
726539,13,14,13,31,-1,33,25,25,42,31,15,25,25,37,-1,38,-1,-1,48,-1,-1,48,42,-1,38,-1,26,-1,-1,42,30,37,43,9,-1,-1,18,-1,-1,-1,37,37
725516,14,14,17,19,-1,30,43,24,43,49,19,45,37,48,-1,38,-1,-1,51,43,-1,50,33,-1,49,-1,-1,-1,-1,-1,30,30,38,-1,-1,-1,37,37,42,-1,-1,-1
727058,14,13,19,45,-1,30,25,25,42,31,21,18,26,38,-1,37,-1,-1,48,-1,-1,48,43,-1,30,-1,-1,-1,-1,42,31,37,37,12,-1,-1,25,-1,-1,42,42,42
720915,14,17,14,19,-1,37,26,26,42,38,17,19,31,42,-1,37,-1,43,50,-1,-1,50,45,47,33,-1,-1,-1,-1,-1,33,37,38,-1,-1,-1,42,42,-1,-1,-1,-1
720916,17,17,18,54,-1,31,26,26,42,42,19,21,29,33,-1,38,-1,43,57,45,-1,51,43,-1,55,-1,-1,-1,-1,-1,37,43,37,-1,-1,-1,42,42,-1,-1,-1,-1
719125,14,16,14,23,23,30,26,30,33,43,18,23,28,43,38,38,40,43,45,-1,-1,45,33,-1,38,43,38,-1,-1,-1,-1,-1,-1,-1,-1,43,-1,-1,-1,-1,-1,-1
726558,13,13,13,18,-1,33,25,25,43,43,19,18,25,33,-1,37,-1,-1,48,-1,25,48,43,-1,-1,-1,-1,-1,-1,-1,30,37,38,9,31,-1,31,-1,-1,-1,43,43
718623,14,13,13,19,19,30,25,26,-1,-1,12,18,28,31,45,38,38,45,48,43,-1,48,-1,43,38,43,26,-1,-1,-1,-1,31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
720163,26,14,19,35,23,43,31,31,57,45,23,50,41,55,57,61,54,47,62,55,-1,62,57,-1,-1,50,45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
721188,17,26,17,61,-1,73,26,61,-1,38,19,23,38,60,-1,43,-1,55,-1,-1,-1,75,48,-1,66,-1,26,-1,43,-1,33,38,45,-1,-1,-1,42,42,-1,-1,-1,-1
723974,14,17,14,21,-1,30,26,24,42,-1,19,19,33,31,-1,37,-1,-1,45,42,-1,45,-1,42,-1,-1,-1,-1,-1,38,33,25,37,-1,-1,-1,31,31,42,-1,-1,-1
719911,14,17,14,45,-1,31,26,26,42,-1,7,19,29,33,-1,37,-1,42,50,37,-1,50,42,-1,-1,-1,29,-1,-1,43,31,37,37,-1,-1,-1,42,42,-1,-1,-1,-1
720168,16,16,25,52,38,43,31,38,35,43,18,61,28,72,54,41,57,54,74,-1,-1,66,30,-1,61,45,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
720988,14,14,14,21,-1,31,26,28,45,42,19,19,31,37,-1,37,-1,49,51,47,-1,51,45,-1,-1,-1,45,-1,-1,-1,33,42,42,-1,-1,-1,42,42,-1,-1,-1,-1
723498,14,14,14,19,-1,30,25,24,42,-1,19,19,37,30,-1,45,-1,-1,48,42,37,48,37,43,26,-1,-1,-1,-1,-1,30,-1,37,-1,-1,-1,45,45,42,-1,-1,-1
725297,14,14,14,49,-1,33,26,50,43,45,15,19,49,48,-1,45,-1,-1,55,45,37,55,38,-1,-1,-1,-1,-1,-1,-1,31,25,38,-1,-1,-1,37,37,43,-1,-1,-1
721203,14,14,14,19,-1,31,26,26,42,-1,15,19,29,31,-1,38,-1,42,48,-1,-1,48,42,-1,-1,-1,26,-1,-1,42,31,37,37,-1,33,-1,42,42,-1,-1,-1,-1
718900,14,14,14,19,50,30,26,28,31,45,18,19,41,33,50,38,42,50,51,-1,38,51,45,-1,41,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
718645,14,14,14,55,23,30,25,26,30,43,18,18,28,61,30,38,40,45,63,49,-1,62,41,-1,-1,-1,38,-1,-1,-1,-1,-1,-1,-1,43,-1,-1,-1,-1,-1,-1,-1
724022,17,25,14,43,-1,30,31,25,43,45,31,21,37,48,-1,37,-1,-1,51,-1,-1,51,37,-1,43,-1,43,-1,-1,31,31,-1,38,-1,-1,-1,50,50,43,-1,-1,-1
720951,14,18,14,19,-1,42,26,28,42,37,21,19,29,45,-1,37,-1,43,50,-1,-1,50,42,-1,-1,-1,26,-1,-1,-1,33,37,38,-1,49,-1,42,42,-1,-1,-1,-1
721210,14,14,14,38,-1,31,26,26,42,37,33,19,26,42,-1,38,-1,42,45,38,-1,45,42,-1,-1,-1,26,-1,-1,42,31,-1,37,-1,-1,-1,42,42,-1,-1,-1,-1
718907,16,21,18,55,45,40,25,31,54,43,21,43,41,61,49,38,41,49,63,-1,-1,57,-1,-1,38,43,35,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
721212,14,17,14,38,-1,42,26,26,42,37,19,19,33,49,-1,37,-1,43,50,43,-1,50,-1,-1,-1,-1,26,-1,42,-1,31,37,37,-1,-1,-1,42,42,-1,-1,-1,-1
726589,13,14,14,26,-1,50,31,25,43,31,15,25,25,37,-1,42,-1,-1,-1,-1,-1,51,38,-1,-1,-1,-1,-1,49,-1,30,37,42,9,-1,-1,30,-1,43,-1,38,38
720054,21,16,14,52,23,31,33,30,-1,-1,18,18,41,54,38,55,43,52,57,49,-1,57,-1,-1,-1,31,43,45,-1,-1,-1,49,-1,-1,45,43,-1,-1,-1,-1,-1,-1
720962,21,14,13,69,-1,38,31,31,55,33,67,21,26,61,-1,57,-1,43,72,-1,-1,72,50,-1,-1,-1,31,-1,42,-1,38,37,45,-1,-1,-1,37,37,-1,-1,-1,-1
725493,14,14,14,43,-1,54,26,24,31,-1,19,45,33,31,-1,31,-1,-1,55,49,42,55,31,31,37,-1,-1,-1,-1,-1,38,-1,49,-1,50,-1,37,37,-1,-1,-1,-1
722230,17,31,26,61,-1,42,42,37,-1,55,31,49,43,65,-1,54,-1,62,-1,-1,49,75,45,-1,54,-1,37,-1,55,-1,43,-1,50,-1,-1,-1,49,49,-1,-1,-1,-1
719431,16,23,18,50,35,30,31,28,31,43,15,18,28,55,50,38,43,52,57,-1,-1,57,-1,-1,54,49,29,-1,45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
726345,13,13,13,18,-1,30,25,25,42,-1,19,18,25,31,-1,37,-1,-1,45,-1,-1,45,30,-1,25,-1,-1,-1,-1,42,31,37,38,10,-1,-1,25,-1,42,42,42,42
726602,13,18,13,18,-1,33,30,25,43,-1,19,18,25,33,-1,42,-1,-1,50,-1,-1,50,49,-1,25,-1,-1,-1,43,-1,33,37,45,9,-1,-1,30,-1,45,45,38,38
725559,33,26,19,57,-1,42,49,33,42,-1,19,19,49,50,-1,49,-1,-1,62,43,-1,62,61,-1,-1,-1,50,-1,-1,61,37,-1,50,-1,50,-1,57,57,54,-1,-1,-1
723597,14,14,14,19,-1,30,25,24,42,-1,19,19,33,31,-1,38,-1,-1,45,42,37,45,33,37,25,-1,-1,-1,-1,-1,31,-1,38,-1,-1,-1,39,39,42,-1,-1,-1
719032,14,18,14,19,23,30,28,30,30,43,18,35,28,50,33,40,38,45,51,-1,38,51,31,-1,45,-1,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
724010,19,14,14,43,-1,30,33,49,42,-1,30,30,37,48,-1,38,-1,-1,57,-1,37,57,29,42,-1,-1,37,-1,-1,-1,30,-1,38,-1,45,-1,42,42,43,-1,-1,-1
723798,14,14,14,47,-1,33,25,24,42,42,19,19,37,48,-1,50,-1,-1,57,42,-1,57,38,-1,37,-1,43,-1,-1,33,30,-1,43,-1,-1,-1,55,55,-1,-1,-1,-1
727737,13,14,13,19,-1,43,25,25,42,30,18,18,25,37,-1,37,-1,-1,45,30,-1,45,-1,-1,38,-1,-1,37,-1,42,30,37,38,10,-1,-1,30,-1,-1,-1,43,43
718948,14,16,21,45,41,38,26,43,41,43,21,28,28,50,41,43,43,47,51,-1,-1,49,41,-1,49,43,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
725083,14,14,14,19,-1,30,26,24,42,-1,19,19,33,30,-1,37,-1,-1,45,42,-1,45,38,-1,42,-1,-1,-1,-1,31,30,-1,37,-1,-1,-1,37,37,-1,-1,-1,-1
722012,14,17,13,49,-1,31,31,31,-1,37,23,19,29,54,-1,57,-1,42,60,-1,-1,60,45,-1,50,-1,49,-1,-1,43,31,37,37,-1,-1,-1,42,42,-1,-1,-1,-1
728122,14,13,14,21,-1,33,25,25,42,42,19,18,26,30,-1,37,-1,-1,50,-1,-1,50,37,-1,42,-1,26,-1,-1,-1,30,37,38,10,-1,-1,30,-1,-1,43,43,43
723556,14,14,14,19,-1,37,25,24,31,42,11,19,33,31,-1,31,-1,-1,43,42,-1,42,31,31,-1,-1,37,-1,-1,-1,33,25,38,-1,-1,-1,37,37,-1,-1,-1,-1
720997,14,17,13,19,-1,33,26,26,42,38,19,19,29,33,-1,38,-1,42,45,-1,-1,45,43,37,29,-1,-1,-1,-1,42,31,-1,37,-1,-1,-1,42,42,-1,-1,-1,-1
719254,13,14,13,18,-1,30,26,25,42,42,21,18,25,37,-1,37,-1,-1,48,31,-1,48,42,-1,-1,-1,-1,-1,-1,45,30,37,38,14,-1,-1,25,-1,43,-1,37,37
721148,17,17,14,19,-1,31,26,26,42,38,21,19,29,50,-1,38,-1,42,60,57,-1,51,42,-1,50,-1,-1,-1,-1,57,43,-1,38,-1,-1,-1,42,42,-1,-1,-1,-1
718957,14,16,18,47,29,31,26,28,33,45,18,31,26,72,50,43,59,52,75,-1,-1,75,35,-1,48,45,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
718909,14,16,14,23,26,30,28,28,31,43,18,28,28,54,45,38,42,49,57,55,38,57,-1,-1,-1,43,-1,-1,-1,33,-1,-1,-1,-1,-1,43,-1,-1,-1,-1,-1,-1
727152,13,14,14,26,-1,30,30,25,42,30,18,25,25,38,-1,37,-1,-1,43,-1,-1,43,42,-1,30,-1,-1,-1,-1,42,30,37,37,12,-1,-1,25,-1,-1,42,42,42
724338,17,14,14,49,-1,31,25,24,42,-1,19,31,37,49,-1,37,-1,-1,55,54,37,55,-1,-1,-1,-1,-1,-1,43,31,31,33,38,-1,-1,-1,54,54,45,-1,-1,-1
727156,13,14,13,19,-1,30,26,25,42,42,19,18,25,37,-1,37,-1,-1,45,30,-1,45,38,-1,-1,-1,-1,-1,-1,42,30,37,38,10,-1,-1,25,-1,42,-1,37,37
723902,14,14,14,21,-1,30,25,24,45,43,19,19,37,48,-1,42,-1,-1,50,-1,-1,50,38,-1,-1,-1,43,-1,45,31,30,-1,45,-1,-1,-1,37,37,43,-1,-1,-1
723602,14,14,14,45,-1,30,25,24,42,-1,21,25,33,31,-1,37,-1,-1,48,42,-1,48,38,37,-1,-1,-1,-1,-1,-1,33,31,37,-1,-1,-1,42,42,42,-1,-1,-1
723575,14,17,14,19,-1,30,25,24,42,-1,21,19,37,48,-1,37,-1,-1,-1,-1,37,63,-1,-1,26,-1,43,-1,42,33,30,-1,38,-1,-1,-1,54,54,45,-1,-1,-1
726396,13,13,13,18,-1,30,25,25,42,-1,18,18,25,30,-1,37,-1,-1,45,-1,26,45,42,-1,-1,-1,-1,-1,-1,42,31,37,38,9,-1,-1,25,-1,30,42,38,38
723582,14,14,14,21,-1,30,25,24,42,42,19,19,31,30,-1,37,-1,-1,45,42,37,45,37,-1,25,-1,37,-1,-1,-1,30,-1,37,-1,-1,-1,42,42,-1,-1,-1,-1
718634,14,16,14,47,26,30,25,30,30,43,18,23,28,54,36,38,40,43,57,-1,38,49,41,-1,48,45,-1,-1,-1,-1,-1,-1,-1,-1,-1,43,-1,-1,-1,-1,-1,-1
728707,13,25,13,18,-1,30,37,25,42,43,31,18,25,37,-1,37,-1,-1,45,-1,-1,45,-1,-1,37,-1,-1,-1,-1,42,31,37,38,12,-1,-1,30,-1,30,42,43,43
722564,14,18,14,54,-1,49,26,28,-1,38,19,21,38,50,-1,37,-1,42,55,47,-1,54,42,-1,-1,-1,26,-1,43,-1,31,37,37,-1,-1,-1,43,43,-1,-1,-1,-1
727173,13,13,14,18,-1,31,25,25,43,31,10,18,25,37,-1,42,-1,-1,-1,-1,-1,51,50,-1,38,-1,25,-1,-1,-1,31,-1,38,10,-1,-1,25,-1,-1,43,31,31
726919,13,14,13,19,-1,38,25,25,43,42,27,21,25,50,-1,49,-1,-1,-1,-1,-1,51,42,-1,38,-1,38,-1,-1,-1,30,37,49,12,-1,-1,30,-1,45,-1,45,45
